Acacia constricta;9280;Vachellia Constricta;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Acacia;constricta;;Acacia constricta;4048;true;0;0;false;false;;A;54;4;2;1
Acacia cultriformis;15;Knife Acacia;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;305;610;455;610;8;12;10;12;-6.5;14;Acacia;cultriformis;;Acacia cultriformis;34;true;0;164;false;false;Acacia glaucifolia, Acacia glaucophylla, Racosperma cultriforme, Acacia papuliformis, Acacia scapuliformis;A;55;4;2;1
Acacia dealbata;6584;Silver Wattle;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;37;Acacia;dealbata;;Acacia dealbata;1603;true;0;4;false;false;;A;56;4;2;1
Acacia farnesiana;16;Sweet Acacia;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;455;760;455;760;8;11;10;12;-6.5;9;Acacia;farnesiana;;Acacia farnesiana;35;true;0;36;false;false;Vachellia farnesiana, Acacia minuta, Acacia smallii;A;57;4;2;1
Acacia floribunda;6585;Gossamer Wattle;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;12;Acacia;floribunda;;Acacia floribunda;1604;true;0;4;false;false;Phyllodoce floribunda, Acacia angustifolia, Racosperma floribundum, Acacia intermedia, Mimosa floribunda;A;58;4;2;1
Acacia koa;9275;Koa;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Acacia;koa;;Acacia koa;3756;true;0;0;false;false;;A;59;4;2;1
Acacia longifolia;18;Sydney Golden Wattle;38;66;500;5000;7;35.9;10000;99000;38;44;32;38;288;0;0;455;610;455;760;8;11;1;12;-6.5;9;Acacia;longifolia;;Acacia longifolia;37;true;0;180;false;false;;A;60;4;2;1
Acacia paradoxa;8206;Kangaroo Thorn;38;66;500;5000;10;25;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Acacia;paradoxa;;Acacia paradoxa;3213;true;0;0;false;false;Acacia armata, Acacia furcifera;A;61;4;2;1
Acacia pendula;9278;Weeping Myall;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;3;Acacia;pendula;;Acacia pendula;3960;true;0;0;false;false;;A;62;4;2;1
Acacia podalyriifolia;9281;Mount Morgan Wattle;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;2;Acacia;podalyriifolia;;Acacia podalyriifolia;3668;true;0;0;false;false;Racosperma podalyriifolium, Acacia fraseri, Racosperma podalyriifolia, Acacia podalyriaefolia;A;63;4;2;1
Acacia pravissima;9276;Ovens Wattle;38;66;500;5000;7;40;10000;99000;38;44;32;38;288;0;0;;;;;;;;;;3;Acacia;pravissima;;Acacia pravissima;3874;true;0;0;false;false;;A;64;4;2;1
